Kode,Provinsi,Kabupaten,Bahasa Indonesia,Bahasa Inggris,Matematika,IPA
1278,Sumatera Utara,Gunungsitoli,57.49,52.23,54.5,53.8
1275,Sumatera Utara,Medan,66.82,64.27,63.77,65.03
1277,Sumatera Utara,Padang Sidimpuan,66.68,57.11,64.4,64.01
1273,Sumatera Utara,Pematangsiantar,62.04,53.18,51.63,58.39
1274,Sumatera Utara,Tebing Tinggi,61.26,50.44,50.57,51.97
1107,Aceh,Aceh Barat,49.12,41.15,37.88,38.98
1112,Aceh,Aceh Barat Daya,52.3,35.97,30.7,36.66
1108,Aceh,Aceh Besar,52.32,41.88,37.71,41.73
1116,Aceh,Aceh Jaya,62.43,52.86,66.03,62.14
1103,Aceh,Aceh Selatan,52.87,43.91,45.11,44.22
1102,Aceh,Aceh Singkil,52.86,47.05,47.21,45.62
1115,Aceh,Nagan Raya,50.7,44.88,42.1,43.11
1101,Aceh,Simeulue,51.18,50.17,46.88,45.53
1173,Aceh,Langsa,57.16,65.3,62.59,56.89
1172,Aceh,Sabang,56.93,40.52,36.54,42.4
1175,Aceh,Subulussalam,54.95,43.84,44.89,45.98
3101,Jakarta,Kepulauan Seribu,55.77,35.98,31.24,39.31
3512,Jawa Timur,Situbondo,55.56,43.39,41.79,44.74
3574,Jawa Timur,Probolinggo,61,63.35,63.62,61.82
6105,Kalimantan Barat,Sanggau,60.6,42.3,44.01,44.42
6107,Kalimantan Barat,Sintang,63.46,48.43,51.68,49.81
6307,Kalimantan Selatan,Hulu Sungai Tengah,60.95,48.96,47.88,50.69
6308,Kalimantan Selatan,Hulu Sungai Utara,64.01,43.72,40.7,44.3
6302,Kalimantan Selatan,Baru,65.87,50.19,48.55,51.76
6305,Kalimantan Selatan,Tapin,66.61,55.21,56.88,57.76
6201,Kalimantan Tengah,Kotawaringin Barat,62.42,44.28,46.82,47.39
6206,Kalimantan Tengah,Sukamara,62.9,52.09,51.32,50.3
6411,Kalimantan Timur,Mahakam Ulu,62.64,51.62,53.89,51.67
2105,Kepulauan Riau,Kepulauan Anambas,60.9,42.38,44.13,46.27
2104,Kepulauan Riau,Lingga,60.16,43.76,46.57,45.33
2103,Kepulauan Riau,Natuna,56.66,38.84,39.57,42.92
1801,Lampung,Lampung Barat,66.57,54.19,60.37,60.44
1811,Lampung,Mesuji,54.05,39.64,39.39,41.45
1809,Lampung,Pesawaran,54.35,38.75,36.87,41.53
1813,Lampung,Pesisir Barat,53.1,37.09,34.49,39.64
1812,Lampung,Tulang Bawang Barat,58,38.02,36.98,42.31
8104,Maluku,Buru,59.98,60.3,60.23,55.15
8105,Maluku,Kepulauan Aru,48.49,49.52,47.88,43.35
8108,Maluku,Maluku Barat Daya,59.58,55.96,49.28,46.91
8107,Maluku,Seram Bagian Timur,70.36,72.4,69.31,60.3
8172,Maluku,Tual,55.02,52.35,48.91,45.88
8208,Maluku Utara,Pulau Taliabu,60.1,56.79,56.47,52.39
5308,Nusa Tenggara Timur,Lembata,64.29,43.18,38.66,44.87
5321,Nusa Tenggara Timur,Malaka,53.18,48.8,51.81,55.43
5312,Nusa Tenggara Timur,Ngada,63.14,43.57,38,43.51
5320,Nusa Tenggara Timur,Sabu Raijua,61.94,69.55,66.01,59.52
5317,Nusa Tenggara Timur,Sumba Barat Daya,56.72,53.17,53.11,51.89
5305,Nusa Tenggara Timur,Timor Tengah Utara,58.56,49.05,53.44,49.06
9415,Papua,Asmat,60.43,61.48,62.61,60.22
9413,Papua,Boven Digoel,55.25,54.26,54.04,45.39
9436,Papua,Deiyai,48.14,45.28,41.15,43.51
9434,Papua,Dogiyai,56.41,54.44,53.99,52.92
9402,Papua,Jaya Wijaya,61.63,65.83,66.5,65.18
9403,Papua,Jayapura,49.75,41,37.79,39.35
9420,Papua,Keerom,56.79,52.59,45.61,51.34
9430,Papua,Lanny Jaya,64.01,63.69,74.36,55.73
9414,Papua,Mappi,47.53,45.01,43.54,42.82
9401,Papua,Merauke,58.16,50.6,48.47,48.04
9410,Papua,Paniai,71.71,77.85,77.19,74.12
9417,Papua,Pegunungan Bintang,60.2,56.96,60.09,59.45
9433,Papua,Puncak,66.69,72.11,67.95,67.23
9411,Papua,Puncak Jaya,49.38,43.07,40.42,38.08
9419,Papua,Sarmi,61.77,61.55,64.13,54.79
9427,Papua,Supiori,47.54,41.56,42.05,38.94
9418,Papua,Tolikara,61.7,76.39,75.81,59.19
9426,Papua,Waropen,62.39,61.91,60.08,58.47
9416,Papua,Yahukimo,56.69,64.84,63.94,59.19
9432,Papua,Yalimo,59.91,61.63,53.54,51.54
9101,Papua Barat,Fak-Fak,65.91,63.85,65.23,58.18
9102,Papua Barat,Kaimana,52.71,42.37,38.77,38.3
9105,Papua Barat,Manokwari,66.15,62.03,64.46,59.4
9111,Papua Barat,Manokwari Selatan,61.58,56.19,59.53,52.53
9110,Papua Barat,Maybrat,67.47,66.99,73.69,57.21
9108,Papua Barat,Raja Ampat,64.97,65.08,68.05,62.45
9106,Papua Barat,Sorong Selatan,64.1,68.58,62.55,57.97
9109,Papua Barat,Tambrauw,56.87,58.26,56.18,50.8
9104,Papua Barat,Teluk Bintuni,64.63,61.95,63.51,57.66
9103,Papua Barat,Teluk Wondama,58.05,61.04,61.06,52.58
9171,Papua Barat,Sorong,62.13,57.83,59.26,55.83
7211,Sulawesi Tengah,Banggai Laut,67.34,60.6,58.52,57.83
7401,Sulawesi Tenggara,Buton,62.72,51.13,49.11,51.86
7415,Sulawesi Tenggara,Buton Selatan,62.52,54.37,53.12,55.18
7414,Sulawesi Tenggara,Buton Tengah,64.37,55.73,58.12,55.51
7408,Sulawesi Tenggara,Kolaka Utara,65.14,57.61,63.8,59.86
7412,Sulawesi Tenggara,Konawe Kepulauan,69.24,64.94,72.06,63.85
7110,Sulawesi Utara,Bolaang Mongondow Selatan,60.91,62.53,58.55,58.11
7111,Sulawesi Utara,Bolaang Mongondow Timur,64.89,61.33,65.85,59.89
7107,Sulawesi Utara,Bolaang Mongondow Utara,52.81,42.71,39.74,42.12
7108,Sulawesi Utara,Kepulauan Sitaro,66.71,66.11,75.06,65.59
1611,Sumatera Selatan,Empat Lawang,48.33,36.24,33.37,35.86
1613,Sumatera Selatan,Musi Rawas Utara,58.47,48.9,56.75,57.49
1612,Sumatera Selatan,Penukal Abab Lematang Ilir,57,51.69,54.88,50.77
1210,Sumatera Utara,Dairi,57.71,50.89,47.69,50.52
1215,Sumatera Utara,Humbang Hasudutan,56.13,39.98,38.49,42.02
1207,Sumatera Utara,Labuhan Batu,74.8,76.86,78.13,76.59
1222,Sumatera Utara,Labuhan Batu Selatan,54.24,42.17,43.18,44.21
1213,Sumatera Utara,Langkat,53.93,42.56,43.17,43.56
1201,Sumatera Utara,Nias,52.3,51.65,53.68,55.93
1225,Sumatera Utara,Nias Barat,56.91,59.79,68.59,61.51
1214,Sumatera Utara,Nias Selatan,55.46,55.62,57.91,52.67
1224,Sumatera Utara,Nias Utara,54.6,51.7,50.54,51.19
1221,Sumatera Utara,Padang Lawas,63.01,67.51,76.83,75.98
1217,Sumatera Utara,Samosir,58.85,44.01,44.24,47.15
1209,Sumatera Utara,Simalungun,75.44,60.88,72.27,77.76
1204,Sumatera Utara,Tapanuli Tengah,52.61,40.35,40.34,42.97
1271,Sumatera Utara,Sibolga,61,41.68,38.56,42.6
1272,Sumatera Utara,Tanjung Balai,54.53,43.61,39.45,40.95
9112,Papua Barat,Pegunungan Arfak,68.44,62.88,68.2,54.09
9429,Papua,Nduga,63.27,69.86,65.08,66.45
6503,Kalimantan Utara,Tana Tidung,62.23,44.03,36.74,43.55
9435,Papua,Intan Jaya,66.73,75.07,77.82,69.16
9428,Papua,Memberamo Raya,60.25,60.93,62.9,52.72
9431,Papua,Membramo Tengah,68.96,75.55,74.24,70.48
